Question,A,B,C,D,Answer
A person travels from P to Q at a speed of 40 kmph and returns by increasing his speed by 50 What is his average speed for both the trips ,36 kmph,45 kmph,48 kmph,50 kmph,C
,1 hour,1 hr 12 min,1 hr 15 min,1 hr 20 min,B
In a flight of 6000 km an aircraft was slowed down due to bad weather The average speed for the trip was reduced by 400 kmph and the time of flight increased by 30 minutes The original planned duration of the flight was ,,,,,A
An athlete claimed that his timing for a 100 m dash should be corrected because the starting signal was gives by a gun fired from a point 10 m away from him and the timekeeper was standing close to the gun The error due to this could be in seconds ,0.03 sec,0.1 sec,0.5 sec,0.7 sec,A
Aryan runs at a speed of 40 meters minute Rahul follows him after an interval of 5 minutes and runs at a speed of 5 metres minute Rahul s dog runs at a speed of 60 metres minute and starts along with Rahul The dog reaches Aryan and then comesback to Rahul and continues to do so till Rahul reaches Aryan What is the total distance covered by the dog ,600 m,750 m,980 m,1200 m,D
Two trains starting at the same time from two stations 200 km apart and going in opposite directions cross each other at a distance of 110 km from one of the stations What is the ratio of their speeds ,9:20,11:09,11:20,None of these,B
A car covers 650 kmps in 12 hours and the other 850 kms in 18 hours Find the average sped of the car ,47 kmps,50 kmps,48 kmps,52 kmps,B
A man in a train notices that he can count 21 telephone posts in one minutes If they are known to be 50 metres apart then at what speed is the train travelling ,55 km/hr,57 km/hr,60 km/hr,63 km/hr,C
Kim and Om are travelling from points A to B which are 400 km apart Travelling at a certain speed Kim takes one hour more than Om to reach point B If Kim doubles her speed was Kim driving from point A to B ,90 kmph,70 kmph,160 kmph,80 kmph,D
An express train travelled at an average speed of 100 km hr stopping for 3 minutes after every 75 km How long did it take to reach its destination 600 km from the starting point ,6 hr 21 min,6 hr 24 min,6 hr 27 min,6 hr 30 min,A
A motorcyclist completes a certain journey in 5 hours He covers one third distance at 60 km hr and the rest at 80 km hr The length of the journey is ,180 km,240 km,300 km,360 km,D
A car travels the first one third of a certain distance with a speed of 10 km hr the next one third distance with a speed of 20 km hr and the last one third distance with a speed of 60 km hr The average speed of the car for the whole journey is ,18 km/hr,24 km/hr,30 km/hr,36 km/hr,A
Two men start together to walk to a certain destination one at 3 kmph and another at 3 75 kmph The latter arrives half an hour before the former The distance is ,6 km,7.5 km,8 km,9.5 km,B
A thief steals a car at 2 30 pm and drives it at 60 kmph The theft is discovered at 3 pm and the owner sets off in another car at 75 kmph When will he overtake the thief ,4.30 pm,4.45 pm,5 pm,5.15 pm,C
A man can row 15 km h in still water and he finds that it takes him twice as much time to row up than as to row down the same distance in the river The speed of current in km h ,6,6.5,4.5,5,D
A boat covers 48 km upstream and 72 km downstream in 12 hours while it covers 72 km upstream and 48 km downstream in 13 hours The speed of stream is ,2 kmph,2.2 kmph,2.5 kmph,4 kmph,A
A motor boat takes 2 hours to travel a distance of 9 km downstream and it takes 6 hours to travel the same distance against the current The speed of the boat in still water and that of the current in km h respectively are ,"6, 5","3, 1.5","8, 5","9, 3",B
,100 km/h,12 km/h,60 km/h,50 km/h,C
,1400 m,700 m,350 m,210 m,B
A train is 250 m long If the train takes 50 second to cross a tree by the railway line then the speed of the train on Km hr is ,9 km/hr,5 km/hr,18 km/hr,10 km/hr,C
Points A and B are 70 km apart on a highway and two cars start at the same time If they travel in the same direction they meet in 7 hours but if they travel towards each other they meet in one hour Find the speed of the two cars in km hr ,"20, 30","40, 30","30, 50","20, 40",B
A 75 metres long train is moving at 20 kmph It will cross a man standing on the platform in ,12 second,14 second,13.5 second,15.5 second,C
A car travels at a speed of 60 km hr and covers a particular distance in one hour How long will it take for another car to cover the same distance at 40 km hr ,,2 hours,,1 hour,C
A man walking at the rate of 5 km hr crosses a bridge in 15 min The length of the bridge in metres is ,600 metres,750 metres,1000 metres,1250 metres,D
The distance between place A and B is 999 km An express train leaves place A at 6 am and runs at a speed of 55 5 km hr The train stops on the way for 1 hour 20 minutes It reaches B at ,1.20 am,12 pm,6 am,11 pm,A
A man travels some distance at a speed of 12 km hr and returns at a speed of 9 km hr If the total time taken by him is 2 hr 20 min the distance is ,35 km,21 km,9 km,12 km,D
A B and C start at the same time in the same direction to run around a circular stadium A completes a round in 252 sec B in 308 sec and C in 198 sec all starting from the same point After what time will they again meet at the stating point again ,46 min 12 sec,45 min,42 min 36 sec,26 min 18 sec,A
,45 km/hr,40 km/hr,25 km/hr,30 km/hr,B
A and B are 15 km apart and when travelling towards each other meet after half an hour where as they meet two and a half hours later if they travel in the same direction The faster of the two travels at the speed of ,15 km/hr,18 km/hr,10 km/hr,8 km/hr,B
A boy rides his bicycle 10 km at an average speed of 12 km hr and travells 12 km at an average speed of 10 km hr His average speed for the entire trip is approximately ,10.4 km/hr,10.8 km/hr,11.0 km/hr,12.2 km/hr,B
,,,,,B
A train 150 metres long takes 20 seconds to cross a platform 450 metres long The speed of the train in km per hour is ,100 km/hr,106 km/hr,108 km/hr,104 km/hr,C
Rubi goes to a multiplex at the speed of 3 km hr to see a movie and reaches 5 minutes late If she travels at the speed of 4 km hr she reaches 5 minutes early The the distance of the multiplex from her starting point is ,2 km,5 km,2 m,5 m,A
A train travelling at a speed of 30 m sec crosses a platform 600 metres long in 30 seconds The length in metres of train is ,120 metres,150 metres,200 metres,300 metres,D
,4 km/h,6 km/h,"10 km/h	",12 km/h,B
,10 hours,12 hours,15 hours,24 hours,D
Ravi and Ajay start simultaneously from a place A towards B 60 km apart Ravi s speed is 4km h less than that of Ajay Ajay after reaching B turns back and meets Ravi at a places 12 km away from B Ravi s speed is ,12 km/h,10 km/h,8 km/h,6 km/h,C
The speed of A and B are in the ratio 3 4 A takes 20 minutes more than B to reach a destination Time in which A reach the destination ,,2 hours,,,A
A man covers half of his journey at 6 km h and the remaining half at 3 km h His average speed is ,9 km/h,4.5 km/h,4 km/h,3 km/h,C
Two trains of equal length take 10 sec and 15 sec respectively to cross a telegraph post If the length of each train be 120 metres in what time in seconds will they cross each other travelling in opposite direction ,16 sec,15 sec,12 sec,10 sec,C
,13.5 km,3 km,15 km,9 km,D
Points A and B are 100 km apart on a highway One car starts from A and another from B at the same time If the cars travel in the same direction they meet in 5 hours If the cars travel towards each other they meet in 1 hour What is the speed of the faster car ,70 km/hr,60 km/hr,80 km/hr,40 km/hr,B
If a runner takes as much time in running 20 metres as the car takes in covering 50 metres The distance covered by the runner during the time the car covers 1 km is ,400 metres,40 metres,440 metres,None of these,A
In track meet s both 100 yards and 100 metres are used as distance By how many metres is 100 metres longer than 100 yards ,0.0856 m,0.856 m,1 m,8.56 m,D
The driver of an ambulance sees a school bus 40 m ahead of him after 20 seconds the school bus is 60 meter behind If the speed of the ambulance is 30 km h what is the speed of the school bus ,10 kmph,12 kmph,15 kmph,22 kmph,B
A minibus takes 6 hour less to cover 1680 km distance if its speed is increased by 14 kmph What is the usual time of the minibus ,15 hour,24 hour,25 hour,30 hour,D
A man reduces his speed from 20 kmph to 18 kmph So he takes 10 minutes more than the normal time what is the distance traveled by him ,30 km,25 km,50 km, 36 km,A
A certain distance is covered at a certain speed If half of this distance is covered in double the time the ratio of the two speed is ,1:16,4:01,2:01,1:04,B
A is twice fast as B and B is thrice fast as C The journey covered by C in 78 minutes will be covered by A in ,13 min,15.5 min ,17 min,12 min,A
A man travelled a distance of 72 km in 12 hours He travelled partly on foot at 5 km hr and partly on bicycle at 10 km hr The distance travelled on foot is ,50 km,48 km,52 km,46 km,B
A car can finish a certain journey in 10 hours at a speed of 42 kmph In order to cover the same distance in in 7 hours the speed of the car km h must be increased by ,12 km/hr,15 km/hr,18 km/hr,24 km/hr,C
Two cars start at the same time from in point and move alone two roads at right angle to each other The speeds are 36 km hr and 48 km hr respectively After 15 sec distance between them will be ,400 m,150 m,300 m,250 m,D
A train is moving at a speed of 80 km hr and covers a certain distance in 4 5 hours The speed of the train to cover the same distance in 4 hours is ,100 km/hr,70 km/hr,85 km/hr,90 km/hr,D
A constable is 114 metre behind a thief The constable runs 21 metres per minute and the thief runs 15 metres in a minute In what time will the constable catch the thief ,19 min,18 min,17 min,16 min,A
,15.6 km,24 km,18.18 km,12.8 km,C
How many seconds will a 500 metre long train take to cross a man walking with a speed of 3 km hr in the direction of the moving train if the speed of the train is 63 km hr ,25 seconds,30 seconds,40 seconds,45 seconds,B
A train is moving with the speed of 180 km hr Its speed in metres per second is ,5 m/s,40 m/s,30 m/s,50 m/s,D
A train 270 metres long is running at a speed of 36 km per hour then it will cross a bridge of length 180 metres in ,40 seconds,45 seconds,50 seconds,35 seconds,B
A thief is noticed by a policeman from a distance of 200 metres the thief starts running and the policeman chases him The thief and the policeman run at the rate of 10 km hr and 11 km hr respectively What is the distance between them after 6 minutes ,100 m,190 m ,200 m,150 m,A
A gun is fired at a distance of 1 7 km from Ram and he hears the sound after 25 seconds The speed of sound in meter per second is,60 m/s,62 m/s,64 m/s,68 m/s,D
A man crosses a road 250 metres wide in 75 seconds His speed in km hr is ,10 km/hr,12 km/hr,12.5 km/hr,15 km/hr,B
A train passes two bridges of length 500 metres and 250 metres in 100 seconds and 60 seconds respectively The length of the train is ,125 metres,250 metres,120 metres,152 metres,A
A and B travel the same distance at speed of 9 km hr and 10 km hr respectively If A takes 36 min more than B the distance travelled by each is ,48 km,54 km,60 km,66 km,B
Ravi and Ajay start simultaneously from a place A towards B 60 km apart Ravi s speed is 4 km hr less than that of Ajay after reaching B Ajay turns back and meet Ravi at a place 12 km away from B Ravi s speed is ,12 km/hr,10 km/hr,8 km/hr,6 km/hr,C
A train 300 meres long is running at a speed of 25 metre per second It will cross a bridge of 200 metres long in ,5 sec,10 sec,20 sec ,25 sec,C
Two trains are running with speed 30 km hr and 58 km hr in the same direction a man in the slower train passes the faster train in 18 sec The length in metres of the faster train is ,70 metres,100 metres,128 metres,140 metres,D
A man goes from Mysore to Bangalore at a uniform speed of 40 km hr and comes back to Mysore at a uniform speed of 60 km hr His average speed for the whole journey is ,48 km/hr,50 km/hr,54 km/hr,5 km/hr,A
,5,4,3,1,B
A man cycles at the speed of 8 km hr and reaches office at 11 am and when he cycles at the speed of 12 km hr he reaches office at 9 am At what speed should he cycle so that he reaches his office at 10 am ,9.6 km/hr,10 km/hr,11.2 km/hr,Cannot be determined,A
A moving train crosses a man standing on a platform and the platform 300 metres long in 10 seconds and 25 seconds respectively What will be the time taken by the train to cross a platform 200 metre long ,,18 seconds,20 seconds,22 seconds,C
If a distance of 50 m is covered in 1 minute 90 m in 2 minutes and 130 m 3 minutes Find the distance covered in 15,610 minutes,750 minutes,1000 minutes,650 minutes,A
A bus moving at a speed of 45 km hr catches a truck 150 metres ahead going in the same direction in 30 seconds The speed of the truck is ,27 km/hr,24 km/hr,25 km/hr,28 km/hr,A
A bus covers three successive 3 km stretches at speed of 10 km hr 20 km hr and 60 km hr respectively Its average speed over this distance is ,30 km/hr,25 km/hr,18 km/hr,10 km/hr,C
A man walks a certain distance in certain time if he had gone 3 km per hour faster he would have taken 1 hour less than the scheduled time If he had gone 2 km per hour slower he would have taken one hour longer on the road The distance in km is ,60,45,65,80,A
,12 km,18 km,20 km,24 km,D
A truck covers a distance of 550 metres in 1 minute whereas a bus covers a distance of 33 kms in 45 minutes The ratio of their speed is ,4:03,3:05,3:04,50:03:00,C
A train passes two persons walking in the same direction at a speed of 3 km hr and 5 km hr respectively in 10 seconds and 11 seconds respectively The speed of the train is ,28 km/hr,27 km/hr,25 km/hr,24 km/hr,C
A train 300 m long is running with a speed of 54 km hr In what time it cross a telephone pole ,20 seconds,15 seconds,17 seconds,18 seconds,A
One third of a certain journey is covered at the rate of 25 km hr one forth at the rate of 30 km hr and the rest at 50 km hr The average speed for the whole journey is ,35 km/hr,,30 km/hr,,B
A boy stated from his house on bicycle at 10 am at a speed of 12 km per hour His elder brother started after 1 hr 15 min on scooter along the same path and caught him at 1 30 pm The speed of the scooter will be in km hr ,4.5 km/hr,36 km/hr,,9 km/hr,C
A can give 40 metres start to B and 70 metres to C in a race of one kilometre how many metres starts can B give to C in a race of one kilometre ,30 mitres,,,32 metres,C
A man travels 50 km at speed 25 km hr and next 40 km at 20 km hr and there after travel 90 km at 15 km hr His average speed is ,18 km/hr,25 km/hr,20 km/hr,15 km/hr,A
If a person travels from a point L towards east for 12 km and then travels 5 km towards north and reached a point M then the shortest distance from L to M is ,12 km,14 km,17 km,13 km,D
A passenger train 150 m long is travelling with a speed of 36 km hr If a man is cycling in the direction of train at 9 km hr the time taken by the train to pass the man is ,10 sec,15 sec,18 sec,20 sec,D
A man travels 50 km at speed 25 km hr and next 40 km at 20 km hr and there after travel 90 km at 15 km hr His average speed is ,18 km/hr,25 km/hr,20 km/hr,15 km/hr,A
The speed of two trains are in the ratio 6 7 If the second train runs 364 km in 4 hours then the speed of first train is ,60 km/hr,72 km/hr,78 km/hr,84 km/hr,C
2 km 5 metres is equal to ,2.5 km,2.005 km,2.0005 km,2.05 km,B
A jeep is chasing a car which is 5 km ahead Their respective speeds are 90 km hr and 75 km hr After how many minutes will the jeep catch the car ,10 min,20 min,24 min,25 min,B
A gun is fired from a fort A man hears the sound 10 seconds later If the sound travels at the rate of 330 m sec find the distance between the fort and the man ,330 km,33 km,3.3 km,0.33 km,C
A car travels from P to Q at a constant speed If its speed were increased by 10 km hr it would have taken one hour lesser to cover the distance It would have taken further 45 minutes lesser if the speed was further increased by 10 km hr The distance between two cities is ,540 km,420 km,600 km,620 km,B
Four people are running around a circular ground from a point on the circumference at 9 00 am For one round these four persons take respectively 40 50 60 and 30 minutes At what time will they meet together again ,4.30 pm,7.00 pm,6.00 pm,5.30 pm,B
Due to inclement weather an Aeroplane reduce its speed by 300 km hr and reached the destination of 1200 km late by 2 hours Then the schedule duration of the flight was ,1 hour,1.5 hour,2 hours,2.5 hours,C
A train 150 m long passes a pole in 15 seconds and another train of the same length travelling in the opposite direction in 12 seconds The speed of the second train is ,45 km/hr,48 km/hr,52 km/hr,54 km/hr,D
,6 km/hr,,4 km/hr,5 km/hr,D
A man covers a total distance of 100 km on bicycle For the first 2 hours the speed was 20 km hr and for the rest of the journey it came down to 10 km hr The average speed will be ,,13 km/hr,,20 km/hr,A
,5.28,528,52.8,0.528,C
Two men start together to walk a certain distance one at 4 km hr and another at 3 km hr The former arrives half an hour before the latter Find the distance ,8 km,7 km,6 km ,9 km,C
A and B run a kilometre and A wins by 25 sec A and C run a kilometre and A wins by 275 m When B and C run the same distance B wins by 30 sec The time taken by A to run a kilometre is ,2 min 25 sec,2 min 50 sec,3 min 20 sec,3 min 30 sec,A
A moving train passes a platform 50 m long in 14 seconds and a lamp post in 10 seconds The speed of the train in km hr is ,24,36,40,45,D
A man goes to a place on bicycle at speed of 16 km hr and comes back at lower speed If the average speed is 6 4 km hr in total then the return speed in km hr is ,10 km/hr,8 km/hr,6 km/hr,4 km/hr,D
A car goes 10 meters in a second Find its speed in km hour ,40 km/hr,32 km/hr,48 km/hr,36 km/hr,D
,6.4 km/hr,6.67 km/hr,10 km/hr,15 km/hr,C
A train 110 m long is running at a speed of 60 km hr How many seconds does it to cross another train 170 m long standing on parallel track ,15.6 seconds,16.8 seconds,17.2 seconds,18 seconds,B
The distance between two cities A and B is 330 km A train starts from A at 8 am and travels towards B at 60 km hr Another train starts from B at 9 am and travels towards A at 75 km hr At what time do they meet ,10.00 am,10.30 am,11.00 am,11.30 am,C
A train covers a distance of 10 km in 12 minutes If its speed is decreased by 5 km hr the time taken by it to cover the same distance will be ,10 minutes,13 minutes 20 seconds,13 minutes,11 minutes 20 seconds,B
Each wheel of a car is making 5 revolutions per second If the diameter of a wheel is 84 cm then the speed of the car in cm sec would be ,420 cm/sec,264 cm/sec,1000 cm/sec,1320 cm/sec,D
P and Q are 27 km away Two trains with speed of 24 km hr and 18 km hr respectively start simultaneously from P and Q and travel in the same direction They meet at a point R beyond Q Distance QR is ,126 km,81 km,48 km,36 km,B
Gautam goes office at a speed of 12 kmph and return homes at 10 kmph His average speed is ,11 km/hr,22 km/hr,10.9 km/hr,12.5 km/hr,C
The length of a train and that of a platform are equal If with a speed of 90 km hr the train crosses the platform in one minute then the length of the train in meters is ,500 meters,600 meters,750 meters,900 meters,C
A train can travel 50 faster than a car Both start from point A at the same time and reach point B 75 kms away from A at the same time On the way however the train lost about 12 5 minutes while stopping at the stations The speed of the car is ,100 kmph,110 kmph,120 kmph,130 kmph,C
A and B start from the same point and in the same direction at 7 am to walk around a rectangular field 400 m 300 m A and B walk at the rate of 3 km hr and 2 5 km hr respectively How many times shall they cross each other if they continue to walk till 12 30 pm ,Not even once,Once,Twice,Thrice,B
A man takes 50 minutes to cover a certain distance at a speed of 6 km hr If he walks with a speed of 10 km hr he covers the same distance in ,10 min,20 min,30 min,40 min,C
,65 km,100 km,120 km,130 km,D
A boy rides his bicycle 10 km at an average speed of 12 km hr and again travels 12 km at an average speed of 10 km hr His average speed for the entire trip is approximately ,10.4 km/hr,10.8 km/hr,11 km/hr,12.2 km/hr,B
Walking at the rate of 4 km an hour a man cover a certain distance in 3 hours 45 minutes If he covers the same distance on cycle cycling at the rate of 16 5 km hour the time taken by him is ,55.45 minutes,54.55 minutes,55.44 minutes,45.55 minutes,B
A car goes 20 metres in a second Find its speed in km hr ,20 km/hr,18 km/hr,72 km/hr,36 km/hr,C
a train 300 m long passed a man walking along the line in the same direction at the rate of 3 km hr in 33 sec The speed of the train is ,30 km/hr,32 km/hr,,,D
A and B start at the same time with speed of 40 km hr and 50 km hr respectively If in covering the journey A takes 15 min longer than B the total distance of the journey is ,40 km,48 km,50 km,52 km,C
A man walk a certain distance and rides back in 4 hours 30 minutes He could ride both ways in 3 hours The time required by the man to walk both ways is ,4 hours 30 minutes,4 hours 45 minutes,5 hours,6 hours,D
, 3 km,,2 km,,C
A train is scheduled to cover the distance between two stations 46 km apart in one hour If it travels 25 km at a speed of 40 km hr find the speed for the remaining journey to complete it in the scheduled time ,36 km/hr,46 km/hr,56 km/hr,66 km/hr,C
A cyclist rides 24 km at 16 kmph and further 36 km at 15 kmph Find his average speed for the journey ,15.38 kmph,15.5 kmph,16 kmph,None of these,A
A train covers a distance between two stations A and B in 45 minutes If the speed of the train is reduced by 5 km hr then it covers the distance in 48 minutes The distance between the stations A and B is ,55 km,60 km,64 km,80 km,B
A thief is noticed by a policeman from a distance of 200 m The thief starts running and the policeman chases him The thief and the policeman run at the rate of 10 km and 11 km per hour respectively What is the distance between them after 6 minutes ,100 m,150 m,190 m,200 m,A
Buses start from a bus terminal with a speed of 20 km hr at intervals of 10 minutes What is the speed of a man coming from the opposite direction towards the bus terminal if he meets the buses at intervals of 8 minutes ,3 km/hr,4 km/hr,5 km/hr,7 km/hr,C
To reach point B from point A at 4 pm Sara will have to travel at an average speed of 18 kmph She will reach point B at 3 pm if she travels at an average speed of 24 kmph At what average speed should Sara travels to reach point B at 2 pm ,36 kmph,28 kmph,25 kmph,30 kmph,A
A person travels three equal distance at a speed of x km hr y km hr and z km hr respectively What is the average speed for the whole journey ,,,,,D
A car takes 15 minutes less to cover a distance of 75 km if it increases its speed by 10 km hr from its usual speed How much time would it take to cover a distance of 300 km using this speed ,5 hrs,,6 hrs,,A
A thief running at 8 km hr is chased by a policeman whose speed is 10 km hr If the thief is 100 metres ahead of the policeman then the time required for the policeman to catch the thief will be ,2 minutes,3 minutes,6 minutes,10 minutes,B
,50.82 minute,54.82 minute,54.62 minute,50.62 minute,B
A man travels for 5 hours 15 minutes If he covers the first half of the journey at 60 km h and rest at 45 km h Find the total distance travelled by him ,189 km,378 km,270 km,,C
A train is 125 m long If the train takes 30 sec to cross a tree by the railway line then the speed of the train is ,14 km/hr,15 km/hr,16 km/hr,12 km/hr,B
Three runners A B and C run a race with runner A finishing 12 metres ahead of runner B and 18 metres ahead of runner C in another race of same type runner B finished 8 metres ahead of runner C Each runner travels the entire distance at a constant speed The length of the race is ,36 metres,48 metres,60 metres,72 metres,B
The speed of a bus is 72 km hr The distance covered by the bus in 5 seconds is ,100 metres,60 metres,50 metres,74.5 metres,A
The ratio between the speeds of two trains is 7 8 If the second train runs 400 km in 4 hours then the speed of the first train is ,70 km/hr,75 km/hr,84 km/hr,87.5 km/hr,D
A man on tour travels first 160 km at 64 km hr and the next 160 km at 80 km hr The average speed for the first 320 km of the tour is ,35.55 km/hr,36 km/hr,71.11 km/hr,71 km/hr,C
,,25 km/hr,30 km/hr,35 km/hr,D
In covering a distance of 30 km Abhay takes 2 hours more than Sameer If Abhay doubles his speed then he would take 1 hour less than Sameer Abhay s speed is ,5 kmph,6 kmph,6.25 kmph,7.5 kmph,A
Robert is travelling on his cycle and has calculated to reach point A at 2 P M if he travels at 10 kmph he will reach there at 12 noon if he travels at 15 kmph At what speed must he travel to reach A at 1 P M ,8 kmph,11 kmph,12 kmph,14 kmph,C
It takes eight hours for a 600 km journey if 120 km is done by train and the rest by car It takes 20 minutes more if 200 km is done by train and the rest by car The ratio of the speed of the train to that of the cars is ,2:03,3:02,3:04,4:03,C
A farmer travelled a distance of 61 km in 9 hours He travelled partly on foot 4 km hr and partly on bicycle 9 km hr The distance travelled on foot is ,14 km,15 km,16 km,17 km,C
A man covered a certain distance at some speed Had he moved 3 kmph faster he would have taken 40 minutes less If he had moved 2 kmph slower he would have taken 40 minutes more The distance in km is ,35,,,40,D
A is travelling at 72 km per hour on a highway while B is travelling at a speed of 25 mitres per second What us the difference in their speeds in mitres per second ,,2 m/sec,3 m/sec,5 m/sec,D
a train 100 m long is running at the speed of 30 km hr The time in second in which it passes a man standing near the railway line is ,10 second,11 second,12 second,15 second,C
A gun is fired at a distance of 1 7 km from Ram and he hears the sound after 25 seconds The speed of sound in meter per second is,60 m/s,62 m/s,64 m/s,68 m/s,D
A man crosses a road 250 metres wide in 75 seconds His speed in km hr is ,10 km/hr,12 km/hr,12.5 km/hr,15 km/hr,B
A train passes two bridges of length 500 metres and 250 metres in 100 seconds and 60 seconds respectively The length of the train is ,125 metres,250 metres,120 metres,152 metres,A
A and B travel the same distance at speed of 9 km hr and 10 km hr respectively If A takes 36 min more than B the distance travelled by each is ,48 km,54 km,60 km,66 km,B
Ravi and Ajay start simultaneously from a place A towards B 60 km apart Ravi s speed is 4 km hr less than that of Ajay after reaching B Ajay turns back and meet Ravi at a place 12 km away from B Ravi s speed is ,12 km/hr,10 km/hr,8 km/hr,6 km/hr,C
, 3 km,,2 km,,C
A train is scheduled to cover the distance between two stations 46 km apart in one hour If it travels 25 km at a speed of 40 km hr find the speed for the remaining journey to complete it in the scheduled time ,36 km/hr,46 km/hr,56 km/hr,66 km/hr,C
A cyclist rides 24 km at 16 kmph and further 36 km at 15 kmph Find his average speed for the journey ,15.38 kmph,15.5 kmph,16 kmph,None of these,A
A train covers a distance between two stations A and B in 45 minutes If the speed of the train is reduced by 5 km hr then it covers the distance in 48 minutes The distance between the stations A and B is ,55 km,60 km,64 km,80 km,B
A thief is noticed by a policeman from a distance of 200 m The thief starts running and the policeman chases him The thief and the policeman run at the rate of 10 km and 11 km per hour respectively What is the distance between them after 6 minutes ,100 m,150 m,190 m,200 m,A
A 6 6 grid is cut from an 8 8 chessboard In how many ways can we put two identical coins one on the black square and one on a white square on the grid such that they are not placed in the same row or in the same column ,216,324,144,108,A
 A man covers the journey from station A to station B at a uniform speed of 36 kmph and returns to A with a uniform speed of 45 kmph his average speed for the whole journey is ,40 kmph,40.5 kmph,41 kmph,42 kmph,A
,15 minutes,20 minutes,30 minutes,1 hour,A
The area of square park is 25 sq Km Time taken to complete a round of the field once at a speed of 3 kmph is ,4 hours 60 minutes,4 hours 50 minutes,6 hours 40 minutes,5 hours 40 minutes,C
The average speed of a train is 20 less on the return journey than on onward journey The train halts for half an hour at the destination station before starting on the return journey If the total time taken for the to and fro journey is 23 hours covering a distance of 1000 km the speed of the train on the return journey is ,60 km/hr,50 km/hr,40 km/hr,55 km/hr,C
If a person walks at 14 km hr instead of 10 km hr he would have walked 20 km more The actual distance travelled by him is ,50 km,56 km,70 km,80 km,A
A train can travel 50 faster than a car Both start from point A at the same time and reach point B 75 kms away from A at the same time On the way however the train lost about 12 5 minutes while stopping at the stations The speed of the car is ,100 kmph,110 kmph,120 kmph,130 kmph,C
Excluding stoppages the speed of a bus is 54 kmph and including stoppages it is 45 kmph For how many minutes does the bus stop per hour ,9,10,12,20,B
In a flight of 600 km an aircraft was slowed down due to bad weather Its average speed for the trip was reduced by 200 km hr and the time of flight increased by 30 minutes The duration of the flight is ,1 hour,2 hours,3 hours,4 hours,A
A man complete a journey in 10 hours He travels first half of the journey at the rate of 21 km hr and second half at the rate of 24 km hr Find the total journey in km ,220 km,224 km,230 km,234 km,B
