Question,A,B,C,D,Answer
A tank has a leak which would empty the completely filled tank in 10 hours If the tank is full of water and a tap is opened which admits 4 litres of water per minutes in the tank how many litres does the tank holds ,2400,4500,1200,7200,A
A B and C completed a work costing Rs 1800 A work for 6 days B for 4 days and c for 9 days If their daily wages are in the ratio of 5 6 4 how much amount will be received by A ,Rs. 800,Rs. 600,Rs. 900,Rs. 750,B
A man and a boy received Rs 800 as wages for 5 days for the work they did together The man s efficiency in the work was thrice times that of the boy What are the daily wages of the boy ,Rs.  76,Rs. 56,Rs.  44,Rs.  40,D
P Q and R are three typists who working simultaneously can type 216 pages in 4 hours In one hour R can type as many pages more than Q as Q can type more than P During a period of five hours R can type as many pages as P can during seven hours How many pages does each of them type per hour ,"14, 17, 20","15, 17, 22","15, 18, 21","16, 18, 22",C
Ronald and Elan are working on an assignment Ronald takes 6 hours to type 32 pages on a computer while Elan takes 5 hours to type 40 pages How much time will they take working together on two different computers to type an assignment of 110 pages ,7 hours 30 minutes,8 hours,8 hours 15 minutes,8  hours 25 minutes,C
Cloth Makers Inc has p spindles each of which can produce q metres of cloth on an average in r minutes If the spindles are made to run with no interruption then how many hours will it take for 20000 metres of cloth to be produced ,,,,,D
One man or two women or three boys can do a piece of work in 88 days One man one woman and one boy will do it in ,44 days,24 days,48 days,20 days,C
15 men can finish a piece of work in 20 days however it takes 24 women to finish it in 20 days If 10 men and 8 women undertake to complete the work then they will take ,20 days,30 days,10 days,15 days,A
A and B can complete a piece of work in 12 and 18 days respectively A begins to do the work and they work alternatively one at a time for one day each The whole work will be completed in ,,,,,A
A can do a piece of work in 90 days B in 40 days and C in 12 days They work for a day each in turn i e first day A does it alone B does it the second day and C the third day After that A does it for another day and so on After finishing the work they get Rs 240 If the wages are divided in proportion to the work done by them find what each will get ,"A Rs. 24, B Rs. 54, C Rs. 162","A Rs. 22, B Rs.50, C Rs. 132","A Rs. 26, B Rs. 52, C Rs. 142","A Rs. 20, B Rs. 44, C Rs. 182",A
A job can be done by 3 skilled workmen in 20 days or by 5 boys in 30 days How many days will they take if they work together ,8 days,10 days,11 days,12 days,D
P is thrice as good a workman as Q and therefore able to finish a job in 48 days less than Q Working together they can do it in ,18 days,24 days,30 days,12 days,A
A does 20 less work than B If A can complete a piece of work in hours then B can do it in ,,6 hours,,5 hours,B
A contractor undertakes to make a road in 40 days and employs 25 men After 24 days he finds that only one third of the road is made How many extra men should he employ so that he is able to complete the work 4 days earlier ,100,60,75,None of these,C
639 persons can repair a road in 12 days working 5 hours a day In how many days will 30 persons working 6 hours a day complete the work ,210 days,213 days,214 days,215 days,B
If 72 men can build a wall of 280 m length in 21 days how many men could take 18 days to build a similar type of wall of length 10 m ,30,10,18,28,A
4 mat weavers can weave 4 mats in 4 days At the same rate how many mats would be woven by 8 mat weavers in 8 days ,4,8,12,16,D
A can do a piece of work in 4 hours B and C together in 3 hours and A and C together in 2 hours How long will B alone take to do it ,8 hours,10 hours,12 hours,24 hours,C
Computer A takes 3 minutes to process an input while computer B takes 5 minutes If computers A B and C can process an average of 14 inputs in one hour how many minutes does computer C alone take to process one input ,4 minutes,6 minutes,10 minitus,None of these,B
5 men and 2 women working together can do four times as much work per hour as a men and a women together The work done by a men and a women should be in the ratio ,1:02,2:01,1:03,4:01,B
If 40 men or 60 women or 80 children can do a piece of work in 6 months then 10 men 10 women and 10 children together do the work in ,,$${\text{6 months}}$$,,,D
Two workers A and B working together completed a job in 5 days If A had worked twice as efficiently as he actually did the work would have been completed in 3 days To complete the job alone A would require ,,,,,C
3 men and 7 women can do a job in 5 days while 4 men and 6 women can do it in 4 days The number of days required for a group of 10 women working together at the same rate as before to finish the same job in ,30 days,36 days,40 days,20 days,D
The daily wages of A and B respectively are Rs 3 50 and Rs 2 50 When A finishes a certain work he gets a total wage of Rs 63 When B does the same work he gets a total wage Rs 75 If both of them do it together what is cost of the work ,Rs. 67.50,Rs. 27.50,Rs. 60.50,Rs. 70.50,A
A man does double the work done by a boy in the same time The number of days that 3 men and 4 boys will take to finish a work which can be done by 10 men in 8 days is ,4,,16,,C
,P,Q,R,Both P and R,C
The time taken by 4 men to complete a job is double the time taken by 5 children to complete the same job Each man is twice as fast as a woman How long will 12 men 10 children and 8 women take to complete a job given that a child would finish the job in 20 days ,4 days,2 days,1 day,10 days,C
,4:05:06,4:07:05,5:07:04,5:06:08,A
A and B can together do a piece of work it in 6 days and A alone can do it in 9 days The number of days B will take to do it alone is ,18 days,24 days,9 days,12 days,A
A can do a piece of work in 18 days He worked at it for 12 days and B finished the remaining work in 8 days B alone can do the whole work in ,16 days,24 days,35 days,28 days,B
A and B can do a work in 8 days B and C can do the same work in 12 days A B and C together can finish it in 6 days A and C together will do it in ,4 days,6 days,8 days,12 days,C
A can do a certain job in 12 days and B is 60 more efficient than A The B can do the same piece of work in ,$${\text{8 days}}$$,,,$${\text{6 days}}$$,B
A man can do a piece of work in 30 hours If he works with his son then the same piece of work is finished in 20 hours If the son works alone then he do the work in ,60 hours,50 hours,25 hours,10 hours,A
Tapas works twice as fast as Mihir If both of them together complete a work in 12 days Tapas alone can complete it in ,15 days,18 days,20 days,24 days,B
2 men and 3 women together or 4 men can complete a piece of work in 20 days 3 men and 3 women will complete the same work in ,12 days,16 days,18 days,19 days,B
Twenty women together can complete a piece of work in 16 days 16 men together can complete the same work in 15 days The ratio of the working capacity of a man to that of a women is ,3:04,4:03,5:03,4:05,B
A conveyor belt delivers baggage at the rate of 3 tons in 5 minutes and second conveyor belt delivers baggage at the rate of 1 ton in 2 minutes How much time will it take to get 33 tons of baggage delivered using both the conveyor belts together ,25 minutes  30 seconds,30 minutes,35 minutes,45 minutes,B
A manufacturer builds a machine which will address 500 envelopes in 8 minutes He wishes to build another machine so that when both are operating together they will address 500 envelopes in 2 minutes The equation used to find how many minutes x it would require the second machine to address 500 envelopes alone is ,$$8 - x = 2$$,,,,B
12 men can do a piece of work in 24 days How many days are needed to complete the work if 8 men do this work ,28 days,36 days,48 days,52 days,B
,90 days,120 days,100 days,30 days,A
A B and C can complete a piece of work in 24 5 and 12 days respectively Working together they will complete the same work in ,,,$${\text{4 days}}$$,,D
If 4 men and 6 women can complete a work in 8 days while 3 men and 7 women can complete it in 10 days then 10 women complete it in ,35 days,50 days,45 days,40 days,D
A can do a piece of work in 12 days and B in 24 days If they work together in how many days will they finish the work ,20 days,8 days,12 days,15 days,B
40 men can complete a piece of work in 15 days 20 more men joined them after 5 days they start doing work How many days will be required by them to finish the remaining work ,,,,,D
A and B working separately can do a piece of work in 9 and 15 days respectively If they work for a day alternatively with A beginning then the work will be completed in ,10 days,11 days,9 days,12 days,B
12 monkeys can eat 12 bananas in 12 minutes In how many minutes can 4 monkeys eat 4 bananas ,4 minutes,10 minutes,12 minutes,8 minutes,C
,5 hours,8 houras,4 hours,6 hours,D
X can copy 80 pages in 20 hours x and y together can copy 135 pages in 27 hours Then y can copy 20 pages in ,20 hours,24 hours,3 hours,12 hours,A
A can do a piece of work in 12 days and B in 20 days If they together work on it for 5 days and remaining work is completed by C in 3 days then in how many days can C do the same work alone ,10 days,9 days,12 days,15 days,B
,20,25,30,10,A
A can do a work in 10 days The efficiency of A is 20 less than B How many days B need to finish the same work ,8.5 days,12.3 days,8 days,7.5 days,C
A group of workers can complete a piece of work in 50 days when they are working individually On the first day one person works on the second day another person joins him on the third day one person joins them and this process continues till the work is completed How many approximate days are needed to complete the work ,8 days,9 days,10 days,11 days,C
A can do a piece of work in 20 days and B in 15 days With help of C they finish the work in 5 days In how many days C alone can do the same work ,5 days,6 days,10 days,12 days,D
Amit Bhawana and Chandan can do a piece of work working together in one day only Amit is 5 times efficient than Bhawna and Chandan takes half of the number of days taken by Bhawna to do the same work What is the difference between the number of days taken by Amit and Chandan when they work alone ,4,5,3,,D
12 men can do a piece of work in 15 days and 20 women can do the same work in 12 days In how many days can 5 men and 5 women complete the same work ,,,,18 days,A
X can do a piece of work in 24 days When he had worked for 4 days Y joined him If complete work was finished in 16 days Y can alone finish that work in ,18 days,27 days,36 days,42 days,C
6 men can complete a piece of work in 12 days 8 women can complete the same piece of work in 18 days and 18 children can do it in 10 days 4 men 12 women and 20 children do the work for 2 days If the remaining work be completed by men only in 1 day how many men will be required ,36,24,18,Cannot be determined,A
16 men can finish a piece of work in 49 days 14 men started working and 8 days they could finish certain amount of work If it is required to finish the remaining work in 24 days How many more men should be added to the existing workforce ,21,28,16,14,D
A takes 10 days less than the time taken by B to finish a piece of work If both A and B can do it in 12 days then the time taken by B alone to finish the work is ,30 days,27 days,20 days,25 days,A
Dinesh and Rakesh are working on an Assignment Dinesh takes 6 hours to type 32 pages on a computer while Rakesh takes 5 hours to type 40 pages How much time will they take working together on two different computers to type an assignment of 110 page ,"7 hours, 30 minutes",8 hours,"8 hours, 15 minutes","8 hours, 25 minutes",C
A can do as much work as B and C together can do A and B can together do a piece of work in 9 hours 36 minutes and C can do it in 48 hours The time in hours that B needs to do the work alone is ,18 hours,24 hours,30 hours,12 hours,B
If 5 men and 3 women can reap 18 acre of crop in 4 days 3 men and 2 women can reap 22 acre of crop in 8 days then how many men are required to join 21 women to reap 54 acre of crop in 6 days ,5,6,10,12,A
25 men with 10 boys can do in 6 days as much work as 21 men with 30 boys can do in days How many boys must help 40 men to do the same work in 4 days ,5,10,20,40,B
A can do a piece of work in 6 days B is 25 more efficient than A How long would B alone take to finish this work ,,,,,A
A takes three times as long as B and C together to do a job B takes four times as long as A and C together to do a job B takes four times as long as A and C together to do the work If all the three working together can complete the job in 24 days then the number of days A alone will take to finish the job is ,100 days,96 days,95 days,90 days,B
Five men are working to complete a work in 15 days After five days 10 women are accompanied by them to complete the work in next 5 days If the work is to be done by women only then in how many days could the work be over if 10 women have started it ,10 days,12 days,15 days,18 days,C
A contractor undertake to do a piece of work in 40 days He engages 100 men at the beginning and 100 more after 35 days and completes the work in stipulated time If he had not engaged the work in men how many days behind the scheduled the work should have been finished ,5,6,7,8,A
A man a woman and a boy can do a piece of work in 6 9 and 18 days respectively How many boys must assist one man and one woman to do the work in 1 day ,5,6,9,13,D
A and B can complete a piece of work in 12 and 18 days respectively A begins to do the work and they work alternatively one at a time for one day each The whole work will be completed in ,,,,,A
A can do a piece of work in 90 days B in 40 days and C in 12 days They work for a day each in turn i e first day A does it alone B does it the second day and C the third day After that A does it for another day and so on After finishing the work they get Rs 240 If the wages are divided in proportion to the work done by them find what each will get ,"A Rs. 24, B Rs. 54, C Rs. 162","A Rs. 22, B Rs.50, C Rs. 132","A Rs. 26, B Rs. 52, C Rs. 142","A Rs. 20, B Rs. 44, C Rs. 182",A
A job can be done by 3 skilled workmen in 20 days or by 5 boys in 30 days How many days will they take if they work together ,8 days,10 days,11 days,12 days,D
P is thrice as good a workman as Q and therefore able to finish a job in 48 days less than Q Working together they can do it in ,18 days,24 days,30 days,12 days,A
A does 20 less work than B If A can complete a piece of work in hours then B can do it in ,,6 hours,,5 hours,B
Shashi can do piece of work in 20 days Tanya is 25 more efficient than Sashi The number of days taken by Tanya to do the same piece of work is ,15,25,18,16,D
18 men or 36 boys working 6 hours a day can plough a field in 24 days In how many days will 24 men and 24 days working 9 hours a day plough the same field ,9,10,6,8,D
,,,,10 days,C
A and B undertake a piece of work for Rs 250 A alone can do that work in 5 days and B alone can do that work in 15 days With the help of C they finish the work in 3 days If every one gets paid in proportion to work done by them the amount C will get is ,Rs. 50,Rs. 100,Rs. 150,Rs. 200,A
A is twice as good as B and together they finish a piece of work in 16 days The number of days taken by A alone to finish the work is ,20 days,21 days,22 days,24 days,D
A B and C can complete a piece of work in 10 12 and 15 days respectively A left the work 5 days before the work was completed and B left 2 days after A had left Number of days required to complete the whole work was ,,6 days,,7 days,D
X alone can complete a piece of work in 40 days He worked for 8 days and left Y alone completed the remaining work in 16 days How long would X and Y together take to complete the work ,,$${\text{14 days}}$$,$${\text{15 days}}$$,,A
A and B together can do a piece of work in 30 days B and C together can do it in 20 days A starts the work and works on it for 5 days B takes up and work for 15 days Finally C finishes the work in 18 days The number of days in which C alone can do the work where doing it separately is ,120 days,40 days,60 days,24 days,D
A sum of money is sufficient to pay A s wages for 21 days and B s wages for 28 days The same money is sufficient to pay the wages of both for ,12 days,,$${\text{14 days}}$$,,A
A can do a piece of work in 10 days B in 15 days They work for 5 days The rest of the work was finished by C in 2 days If they get Rs 1500 for the whole work the daily wages of B and C are ,Rs. 150,Rs. 225,Rs. 250 ,Rs. 300,B
,16,12,10,18,A
A alone can complete a piece of work in 18 days and B alone in 15 days B alone worked at it for 10 days and then left the work In how many more days will A alone complete the remaining work ,5 days,,6 days,8 days,C
A can do a piece of work in 12 days When he had worked for 3 days B joined him If they complete the work in 3 more days in how many days can B alone finish the work ,6 days,12 days,4 days,8 days,A
45 men can complete a piece of work in 16 days Four days they started working 36 more men joined them How many days will they take to complete the remaining work ,6 days,8 days,,,C
A started a work and left after working for 2 days Then B was called and he finished the work in 9 days had A left the work after working for 3 days B would have finished the remaining work in 6 days In how many days can each of them working alone finish the whole work ,"2.5 days, 7.5 days","5 days, 8.5 days","5 days, 15 days",None of these,C
Working together Asha and Sudha can complete an assigned task in 20 days However if Asha worked alone and completed half the work and then Sudha takes over the task and completes the second half of the task the task will be completed in 45 days How long will Asha take to complete the if she worked alone Assume that Sudha is more efficient than Asha ,25 days,30 days,60 days,65 days,C
A can do a piece of work in 14 days which B can do in 21 days They begin together but 3 days before the completion of the work A leaves off The total number of days to complete the work is ,,,,,C
A and B together can complete a job in 8 days Both B and C working alone can finish the same job in 12 days A and B commence work on the job and work for 4 days where upon A leaves B continues for 2 more days and then he leaves too C now starts working and finishes the job How many days will C require to finish the remaining work ,5 days,8 days,3 days,4 days,D
A and B can together finish a piece of work in 30 days They worked on it 20 days and then B left The remaining work was done by A alone in 20 days A alone can finish the work in ,60 days,54 days,48 days,50 days,A
16 women take 12 days to complete a work which can be completed by 12 men in 8 days 16 men started working and after 3 days 10 men left and 4 women joined them How many days will they take to complete the remaining work ,4 days,6 days,8 days,10 days,B
Some carpenters promised to do a job in 9 days but 5 of them were absent and remaining men did the job in 12 day The original number of carpenters was ,24,20,16,18,B
If 4 men or 6 women can do a piece of work in 12 days working 7 hours a day how many days will it take to complete a work twice as large with 10 men and 3 women working together 8 hours a day ,6 days,7 days,8 days,10 days,B
,45,40,35,30,D
A man undertakes to do a certain work in 150 days He employs 200 men He finds that only a quarter of the work is done in 50 days The number of additional men that should be appointed so that the whole work will be finished in time is ,75,100,125,50,B
A can complete a piece of work in 18 days B in 20 days and C in 30 days B and C together start the work and are forced to leave after 2 days The time taken by A alone to complete the remaining work is ,10 days,12 days,15 days,16 days,C
A 10 hectare field is reaped by 2 men 3 women and 4 children together in 10 days If working capabilities of a man a woman and a child are in the ratio 5 4 2 then a 16 hectare field will be reaped by 6 men 4 women and 7 children in ,5 days,6 days,7 days,8 days,D
If p men working p hours per day for p days produce p units of work then the units of work produced by n men working n hours a day for days is ,,,,,D
If two persons with equal abilities can do two jobs in two days then 100 persons with equal abilities can do 100 similar jobs in ,100 days,10 days,5 days,2 days,D
A is twice as good a workman as B If they work together they can complete a job in 18 days If A alone does the job in how many days he will complete the job ,27 days,36 days,40 days,54 days,A
A is thrice as good a workman ad B and so takes 60 days less than B for doing a job The time in which they can do the job together is ,,$${\text{30 days}}$$,$${\text{45 days}}$$,$${\text{60 days}}$$,A
A can complete a piece of work in 10 days B in 15 days and C in 20 days A and C together for 2 days and A was replaced by B In how many days altogether was the work complete ,6 days,8 days,15 days,16 days,B
,,,,,D
A man and a boy can do a piece of work in 24 days If the man works alone for the last 6 days it is completed in 26 days How long would the boy take to do it alone ,20 days,24 days,36 days,72 days,D
Two men can do a piece of work in x days But y women can do that in 3 days Then the ratio of the work done by 1 man and 1 woman is ,3y : 2x,2x : 3y,x : y,2y : 3x ,A
If 12 carpenters working 6 hours a day can make 460 chairs in 240 days then number of chairs made by 18 carpenters in 360 days each working 8 hours a day ,1320,1380,1260,920,B
,,$${\text{11 days}}$$,,,B
,480,80,200,100,C
If the work done by x 1 men in x 1 days and the work done by x 2 men in x 1 days are in the ratio 9 10 then the value of x is equal to ,5,6,7,8,D
A can do a piece of work in 70 days and B is 40 more efficient then A Then the number of days taken by B to do the same work is ,40 dayd,60 days,50 days,45 days,C
A can do a certain work in 12 days B is 60 more efficient then A How many days will B and A together take to do the same job ,,,,,D
,100,600,300,200,A
If 20 women can lay a road of length 100m in 10 days 10 women can lay the same road of length 50m in ,5 days,15 days,10 days,20 days,C
A and B can together finish a work in 30 days They worked together for 20 days and B left After another 20 days A finished the remaining work In how many days A alone can finish the job ,40 days,50 days,54 days,60 days,D
A can build up a wall in 8 days while B can break it in 3 days A has worked for 4 days and then B joined to work with A for another 2 days only In how many days will A alone build up the remaining part of the wall ,,7 days,,,C
Anuj and Manoj can together paint their house in 30 days After working for 20 days Anuj has to go out and Manoj finished the remaining working the next 30 days If Manoj had gone away after 20 days instead of Anuj then Anuj would have completed the remaining work in ,15 days,20 days,25 days,35 days,A
A and B can do a work in 8 days B and C can do the same work in 12 days A B and C together can finish it in 6 days A and C together will do it in ,8 days,6 days,8 days,12 days,C
,1,3,6,12,B
10 men working 6 hours a day can complete a work in 18 days How many hours a day must 15 men work to complete the same work in 12 days ,6 hours/day,10 hours/day,12 hours/day,15 hours/day,A
A work could be completed in 100 days by some workers However due to the absence of 10 workers it was completed in 110 days The original number of workers was ,100,110,55,50,B
A job can be complete by 12 men in 12 days How many extra days will be needed to complete the job if 6 men leave after working for 6 days ,3 days,6 days,12 days,24 days,B
A contractor undertakes to make a road in 40 days and employs 25 men After 24 days he finds that only one third of the road is made How many extra men should he employ so that he is able to complete the work 4 days earlier ,100,60,75,None of these,C
639 persons can repair a road in 12 days working 5 hours a day In how many days will 30 persons working 6 hours a day complete the work ,210 days,213 days,214 days,215 days,B
If 72 men can build a wall of 280 m length in 21 days how many men could take 18 days to build a similar type of wall of length 10 m ,30,10,18,28,A
4 mat weavers can weave 4 mats in 4 days At the same rate how many mats would be woven by 8 mat weavers in 8 days ,4,8,12,16,D
A can do a piece of work in 4 hours B and C together in 3 hours and A and C together in 2 hours How long will B alone take to do it ,8 hours,10 hours,12 hours,24 hours,C
60 men could complete a piece of work in 250 days They worked together for 200 days After that work had to be stopped for 10 days due to bad weather How many more men should be engaged to complete the work in time ,10,15,18,20,B
A and B can do a piece of work in 12 days B and C in 8 days and C and A in 6 days How long would B take to do the same work alone ,24 days,32 days,40 days,48 days,D
A can build a wall in the same time in which B and C together can do it If A and B together can do it If A and B together could do it in 25 days and C alone in 35 days in what time could B alone do it ,91 days,100 days,175 days,None of these,C
Madhu takes twice as much time as Uma to complete a work and Rahul does it in the same time as Madhu and Uma together If all three working together can finish the work in 6 days then the time taken by Madhu to finish the work is ,12 days,14 days,36 days,40 days,C
,5,6,4,3,C
Kamal can do a work in 15 days Bimal is 50 more efficient then Kamal The number of days Bimal will take to do the same piece of work is ,,10,12,14,B
,5 hours,,6 hours,,C
A B and C can separately do a work in 12 15 and 20 days respectively They started to work together but C left after 2 days The remaining work will be finished in ,4 days,5 days,6 days,15 days,A
A can do a piece of work in 15 days which B can do it in 10 days B worked at it for 8 days A can finish the remaining work in ,2 days,3 days,5 days,10 days,B
A does half as much work as B in one sixth of the time If together they take 10 days to complete a work How much time shall B alone take to do it ,30 days,40 days,50 days,70 days,B
Ayesha can complete a piece of work in 16 days Amita can complete the same piece of work in 8 days If both of them work together in how many days can they complete the same piece of work ,,,$${\text{6 days}}$$,$${\text{12 days}}$$,B
A can complete a certain work in 4 minutes B in 5 minutes C in 6 minutes D in 10 minutes and E in 12 minutes The average number of units of work completed by them per minute will be ,0.16,0.4,0.8,None of these,A
A daily wages labourer was engaged for a certain number of days for Rs 5750 but being absent on some of those days he paid only Rs 5000 What were his maximum possible daily wages ,Rs. 125,Rs. 250,Rs. 375,Rs. 500,B
A and B together can do a piece of work in 8 days B and C together in 10 days while C and A together in 6 days if they all work together the work will be completed in ,,,,,C
A and B together can complete a piece of work in 8 days B alone can complete that work in 12 days B alone worked for four days After that how long will A alone takes to complete the work ,15 days,18 days,16 days,20 days,C
,4 days,8 days,6 days,9 days,D
A can do a piece of work in 12 days while B alone can do it in 15 days With the help of C they can finish it in 5 days If they are paid Rs 960 for the whole work How much money A gets ,Rs. 480,Rs. 240 ,Rs. 320,Rs. 400,D
X can do a piece of work in 40 days He works at it for 8 days and then Y finished it in 16 days How long will they together take to complete the work ,,15 days,20 days,26 days,A
,,11 days,,,B
A and B together can do a piece of work in 30 days A having worked for 16 days B finishes the remaining work alone in 44 days In how many days shall B finish the whole work alone ,30 days,40 days,60 days,70 days,C
A can finish a piece of work in 18 days and B can do the same work in half of the time taken by A Then working together what part of the same work they can finish in a day ,,,,,A
A and B can do a piece of work in 72 days B and C can do it in 120 days and A and C can do it in 90 days In how many days all three together can do the work ,80 days,100 days,60 days,150 days,C
Two spinning machines A and B can together produce 300000 metres of cloth in 10 hours If machine B alone can produce the same amount of cloth in 15 hours Then how much cloth can machine A produce alone in 10 hours ,50000 metres,100000 metres,150000 metres,200000 metres,B
X Y and Z complete a work in 6 days X or Y alone can do the same work in 16 days In how many days Z alone can finish the same work ,12,16,24,36,C
,15 days,10 days,12 days,14 days,B
Ravi and Kumar are working on an assignment Ravi takes 6 hours to type 32 pages on a computer while Kumar takes 5 hours to type 40 pages How much time will they take working together on two different computers to type an assignment of 110 pages ,7 hours 30 minutes,8 hours,8 hours 15 minutes,8 hours 25 minutes,C
